SORT,LITHSTRTNO,CODE,JNCODE,NUMBER_,UNITNAME,GSWASTATUS,RANK,DESCRIPTN,PARENTCODE,PARENTNAME,ROCKTYPE1,LITHNAME1,QUALIFIER1,QUALIFIER2,MIXEDROCK,ROCKTYPE2,LITHNAME2,MIXEDQUAL1,MIXEDQUAL2,REGOLITH,WASTRAUNIT,SUPERSUITE,SUITE,SUPERGROUP,GROUP_,SUBGROUP,FORMATION,MEMBER,BED,STATE,WATECTUNIT,SSUITE_TEC,SUITE_TEC,CRATON,SUPERTERRA,CRATON_TER,DOMAIN_,GREENSTONE,SUPERBASIN,BASIN,SUBBASIN,SUBBASIN_E,OROGEN,PROVINCE,PROV_TZONE,TECT_SUBDI,OROG_FOR,OROG_FORSU,IN_OUTLIER,EVENTS,AGEFROM,AGETO,MAX_AGE_MA,MAXUNCERTY,MIN_AGE_MA,MINUNCERTY,MAX_AGE_DA,MIN_AGE_DA
5,3704,A-cib-YEG,2747;A-cib-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Formation,Banded iron-formation; finely interleaved magnetite- and quartz-rich chert and/or siliceous slate; metamorphosed,A-ci-YEG,Eastern Goldfields Superterrane greenstones,sedimentary other chemical or biochemical,iron formation,banded,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,,Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma),Mesoarchean,Neoarchean,2960,,2650,,Inferred,Inferred
6,2992,A-mba-YEG,2747;A-mba-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Subgroup,"Amphibolite; interlayered with metasiltstone, metasandstone, and fine-grained mafic metavolcanic rock",A-mb-YEG,Eastern Goldfields Superterrane greenstones,meta-igneous mafic volcanic,amphibolite derived from volcanic rock,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,"Yilgarn Craton, Marymia Inlier",Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma); Yilgarn Craton events (4000 - 2600 Ma),Archean,Archean,2960,,2650,,Inferred,Inferred
7,3379,A-mbs-YEG,2747;A-mbs-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Subgroup,"Foliated, fine-grained, metamorphosed mafic rock; locally hornfelsed or epidotized",A-mb-YEG,Eastern Goldfields Superterrane greenstones,meta-igneous mafic volcanic,mafic schist derived from volcanic rock,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,,Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma),Mesoarchean,Neoarchean,2960,,2650,,Inferred,Inferred
3,3365,A-sn-YEG,2747;A-sn-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Subgroup,"Sedimentary rock, undivided; includes sandstone, siltstone, shale, chert, and minor schistose metamafic rock; metamorphosed; commonly deeply weathered",A-s-YEG,Eastern Goldfields Superterrane greenstones,sedimentary siliciclastic,siliciclastic rock; undivided,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,"Yilgarn Craton, Marymia Inlier",Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma); Yilgarn Craton events (4000 - 2600 Ma),Archean,Archean,2960,,2650,,Inferred,Inferred
4,3366,A-ss-YEG,2747;A-ss-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Subgroup,Sandstone to siltstone; local conglomerate; metamorphosed,A-s-YEG,Eastern Goldfields Superterrane greenstones,sedimentary siliciclastic,sandstone + siltstone,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,,Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma),Mesoarchean,Neoarchean,2960,,2650,,Inferred,Inferred
2,552,od,2747;od,2747,Mafic intrusive unit,Informal,Suite,"Dolerite dykes, sills, or plugs; fine- to medium-grained dolerite; age uncertain",o,Mafic intrusive unit,igneous mafic intrusive,dolerite,,,,,,,,,,,,,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,Western Australian events (4000 - 0.01 Ma),Archean,Phanerozoic,4000,,0,,Inferred,Inferred
1,476,zq,2747;zq,2747,Hydrothermal unit,Informal,Suite,"Quartz vein or pod; massive, crystalline, or brecciated; age uncertain",z,Hydrothermal unit,hydrothermal,quartz vein,,,,,,,,,,,,,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,Western Australian events (4000 - 0.01 Ma),Archean,Phanerozoic,4000,,0,,Inferred,Inferred
